ID;AÑO;NT1_1;NT1_2;NT1_3;NT1_4;NT2_1;NT2_2;NT2_3;NT2_4;NT2_5;NT3;NT3_1;NT3_2;NT3_3;NT4_1;NT4_2;NT4_3;NT5_1;NT5_2;NT5_3;NT5_4;NT5_5;NT5_6;NT5_7;NT5_8;NT5_9;NT5_10;NT5_11;NT5_12;EDAD;SEXO;GRUPO_DE_EDAD;ZONA;PONDERA
139;2014;1;1;1;1;2;2;1;1;1;1;1; ; ;1;16;5;3;4;7;10; ; ; ; ; ; ; ; ;28;2;3;1;520.209404218172
141;2014;1;1;1;2;1;2;1;1;1;1;1;8; ;2;1;6;3;4;5;6;7;8;9;10; ; ; ; ;19;2;1;1;267.762524475456
142;2014;1;1;1;1;1;2;1;1;1;1;1;2;8;1;6;2;3;4;5;7;8;9;10; ; ; ; ; ;24;2;2;1;361.621728132105
146;2014;1;1;1;2;1;2;1;1;1;1;1;2;8;2;1;4;3;4;5;6;7;8;9;10; ; ; ; ;19;2;1;1;435.452186268167
147;2014;1;1;1;1;2;2;1;1;1;1;1;8; ;2;1;4;4;5;6;7;8;9;10; ; ; ; ; ;25;2;3;1;625.027717008401
150;2014;1;1;1;2;1;2;1;1;1;1;1;8;3;2;5;1;3;4;5;6;7;8;9;10; ; ; ; ;25;2;3;1;625.027717008401
153;2014;1;1;1;2;1;2;1;2;1;1;1;2; ;6;1;2;2;3;8;9; ; ; ; ; ; ; ; ;25;2;3;1;687.142272735944
154;2014;2;1;1;2;1;2;1;2;1;1;1;7; ;1;2;4;1;2;3;4; ; ; ; ; ; ; ; ;25;2;3;1;687.142272735944
155;2014;1;1;1;1;2;2;1;1;2;1;2;1; ;1;5; ;3;4;10; ; ; ; ; ; ; ; ; ;22;2;2;1;646.535816963461
156;2014;2;2;2;2;2;2;1;2;2;1;2; ; ;5;1; ;2;3;7; ; ; ; ; ; ; ; ; ;28;2;3;1;609.499078076515
157;2014;1;1;1;1;1;2;1;1;2;1;1; ; ;2; ; ;5;9; ; ; ; ; ; ; ; ; ; ;24;2;2;1;573.480922391319
159;2014;2;1;1;2;2;2;1;2;1;1;1;2; ;16;2; ;10; ; ; ; ; ; ; ; ; ; ; ;29;2;3;1;609.499078076515
162;2014;2;1;1;2;1;2;1;2;2;1;1; ; ;5;2; ;4;10; ; ; ; ; ; ; ; ; ; ;22;2;2;1;613.661114405997
163;2014;1;1;1;1;2;2;1;2;1;1;2;1; ;2;6;1;3;5;10; ; ; ; ; ; ; ; ; ;23;2;2;1;613.661114405997
